字词,拼音
"嗄","á"
"吖","ā"
"阿","ā"
"啊","ā"
"锕","ā"
"桛","ā"
"裞","ā"
"騣","ái"
"啀","ái"
"捱","ái"
"皑","ái"
"凒","ái"
"溰","ái"
"敳","ái"
"癌","ái"
"嘼","ái"
"嗳","ài"
"艾","ài"
"伌","ài"
"爱","ài"
"砹","ài"
"硋","ài"
"隘","ài"
"嗌","ài"
"塧","ài"
"嫒","ài"
"碍","ài"
"叆","ài"
"暧","ài"
"瑷","ài"
"僾","ài"
"壒","ài"
"懓","ài"
"懝","ài"
"賹","ài"
"餲","ài"
"鴱","ài"
"皧","ài"
"瞹","ài"
"鱫","ài"
"薭","ài"
"駆","ài"
"欬","ài"
"鑠","ài"
"瀏","ǎi"
"矮","ǎi"
"蔼","ǎi"
"躷","ǎi"
"譪","ǎi"
"霭","ǎi"
"昹","ǎi"
"鰆","ǎi"
"哎","āi"
"哀","āi"
"唉","āi"
"埃","āi"
"挨","āi"
"溾","āi"
"锿","āi"
"歡","āi"
"雸","án"
"玵","án"
"犴","àn"
"岸","àn"
"按","àn"
"案","àn"
"胺","àn"
"豻","àn"
"堓","àn"
"暗","àn"
"貋","àn"
"黯","àn"
"屽","àn"
"垾","àn"
"錬","àn"
"莍","àn"
"媐","àn"
"羙","ǎn"
"垵","ǎn"
"俺","ǎn"
"唵","ǎn"
"埯","ǎn"
"铵","ǎn"
"隌","ǎn"
"揞","ǎn"
"晻","ǎn"
"啽","ān"
"萻","ān"
"葊","ān"
"痷","ān"
"鹌","ān"
"蓭","ān"
"鞍","ān"
"闇","ān"
"鮟","ān"
"韽","ān"
"鶕","ān"
"安","ān"
"侒","ān"
"峖","ān"
"桉","ān"
"氨","ān"
"庵","ān"
"谙","ān"
"媕","ān"
"厰","ān"
"膚","ān"
"誽","ān"
"眖","ān"
"駅","ān"
"眝","ān"
"岇","ánɡ"
"昂","ánɡ"
"昻","ánɡ"
"枊","ànɡ"
"盎","ànɡ"
"醠","ànɡ"
"肮","ānɡ"
"敖","áo"
"厫","áo"
"嗷","áo"
"嗸","áo"
"嶅","áo"
"廒","áo"
"獒","áo"
"獓","áo"
"遨","áo"
"摮","áo"
"熬","áo"
"翱","áo"
"聱","áo"
"螯","áo"
"謷","áo"
"鳌","áo"
"鏖","áo"
"鷔","áo"
"憆","áo"
"環","áo"
"鏶","áo"
"漞","áo"
"蕋","áo"
"耴","áo"
"雑","áo"
"峜","ào"
"妔","ào"
"抲","ào"
"妛","ào"
"坳","ào"
"岙","ào"
"傲","ào"
"奥","ào"
"嫯","ào"
"骜","ào"
"澚","ào"
"墺","ào"
"澳","ào"
"懊","ào"
"擙","ào"
"謸","ào"
"鏊","ào"
"芺","ǎo"
"袄","ǎo"
"媪","ǎo"
"媼","ǎo"
"凹","āo"
"垇","āo"
"爊","āo"
"熝","āo"
"泑","āo"
"飔","bá"
"輗","bá"
"跋","bá"
"魃","bá"
"墢","bá"
"鼥","bá"
"叐","bá"
"抜","bá"
"坺","bá"
"妭","bá"
"拔","bá"
"茇","bá"
"炦","bá"
"癹","bá"
"胈","bá"
"釛","bá"
"菝","bá"
"坝","bà"
"弝","bà"
"爸","bà"
"罢","bà"
"鲅","bà"
"霸","bà"
"灞","bà"
"欛","bà"
"鲌","bà"
"砯","bà"
"把","bǎ"
"钯","bǎ"
"靶","bǎ"
"釟","bā"
"豝","bā"
"鲃","bā"
"魞","bā"
"八","bā"
"仈","bā"
"巴","bā"
"叭","bā"
"扒","bā"
"朳","bā"
"吧","bā"
"岜","bā"
"芭","bā"
